actual_answer,student_answer,score,feedback
"Shakespeare wrote Hamlet","Shakespeare wrote Macbeth",0.5,"Partially correct (wrong play)"
"Shakespeare wrote Hamlet","Charles Dickens wrote Hamlet",0,"Incorrect"
"The Earth orbits the Sun","The Earth orbits the Moon",0,"Incorrect"
"Photosynthesis occurs in plants","Photosynthesis happens in leaves",0.8,"Mostly correct but not specific"
"The capital of Italy is Rome","Italy's capital is Rome",0.9,"Meaning correct but structure different"
"Newton discovered gravity","Newton found gravity",0.9,"Meaning correct but slightly informal"
"Newton discovered gravity","Einstein discovered gravity",0,"Incorrect"
"Oxygen is essential for breathing","Oxygen is needed to breathe",0.9,"Meaning correct but rephrased"
"Oxygen is essential for breathing","Carbon dioxide is essential for breathing",0,"Incorrect"
"The Pythagorean theorem is a^2 + b^2 = c^2","c^2 = a^2 + b^2",1,"Correct (rearranged)"
"The Pythagorean theorem is a^2 + b^2 = c^2","a + b = c",0,"Incorrect"
"The atomic number of hydrogen is 1","Hydrogen's atomic number is 1",0.9,"Meaning correct but rephrased"
"The Great Wall of China is in Asia","The Great Wall is in China",0.8,"Partially correct (more specific)"
"William Shakespeare wrote Romeo and Juliet","Romeo and Juliet was written by Shakespeare",1,"Correct"
"William Shakespeare wrote Romeo and Juliet","Shakespeare wrote Macbeth",0.5,"Partially correct (wrong play)"
"William Shakespeare wrote Romeo and Juliet","Charles Dickens wrote Romeo and Juliet",0,"Incorrect"
"The formula for water is H2O","H2O is the formula for water",1,"Correct (rephrased)"
"The speed of light is approximately 299,792 km/s","The speed of light is 300,000 km/s",0.9,"Approximately correct"
"The speed of light is approximately 299,792 km/s","The speed of light is 150,000 km/s",0,"Incorrect"
"Mount Everest is the highest peak in the world","Everest is the tallest mountain",1,"Correct"
"Mount Everest is the highest peak in the world","K2 is the highest peak",0,"Incorrect"
"Mount Everest is the highest peak in the world","Mount Everest is the highest mountain",1,"Correct"
"The chemical symbol for gold is Au","Gold is represented by Au",1,"Correct (rephrased)"
"The chemical symbol for gold is Au","The symbol for gold is Ag",0,"Incorrect"
"The Nile is the longest river in the world","The longest river is the Nile",1,"Correct"
"The Nile is the longest river in the world","The Amazon is the longest river",0,"Incorrect"
"The Nile is the longest river in the world","The Nile is the longest",0.9,"Partially correct (less specific)"
"The formula for the area of a circle is πr^2","πr^2 is the area of a circle",1,"Correct (rephrased)"
"The formula for the area of a circle is πr^2","Area of a circle = 2πr",0,"Incorrect"
"The capital of Japan is Tokyo","Japan's capital is Tokyo",0.9,"Meaning correct but structure different"
"The capital of Japan is Tokyo","The capital of Japan is Kyoto",0,"Incorrect"
"Albert Einstein developed the theory of relativity","Einstein created the theory of relativity",1,"Correct"
"Albert Einstein developed the theory of relativity","Newton developed the theory of relativity",0,"Incorrect"
"The human body has 206 bones","The human skeleton has 206 bones",1,"Correct (rephrased)"
"The periodic table has 118 elements","There are 118 elements in the periodic table",1,"Correct"
"The periodic table has 118 elements","The periodic table contains 118 elements",1,"Correct (rephrased)"
"The periodic table has 118 elements","The periodic table has 92 elements",0,"Incorrect"
"The largest planet in the solar system is Jupiter","Jupiter is the biggest planet",1,"Correct (synonym)"
"The formula for force is F = ma","F = ma",1,"Correct (abbreviated)"
"The formula for force is F = ma","Force = mv",0,"Incorrect"
"The capital of Australia is Canberra","Australia's capital is Canberra",0.9,"Meaning correct but structure different"
"The capital of Australia is Canberra","The capital of Australia is Sydney",0,"Incorrect"
"The boiling point of water is 100°C","The boiling point of water is 100 degrees Celsius",1,"Correct (rephrased)"
"The boiling point of water is 100°C","The boiling point of water is 50°C",0,"Incorrect"
"The formula for density is mass/volume","Mass divided by volume equals density",1,"Correct (rephrased)"
"The formula for density is mass/volume","Density = volume/mass",0,"Incorrect"
"The capital of Canada is Ottawa","Canada's capital is Ottawa",0.9,"Meaning correct but structure different"
"The capital of Canada is Ottawa","The capital of Canada is Toronto",0,"Incorrect"
"The chemical symbol for sodium is Na","Sodium is represented by Na",1,"Correct (rephrased)"
"The chemical symbol for sodium is Na","The symbol for sodium is So",0,"Incorrect"
"The formula for the circumference of a circle is 2πr","2πr is the circumference of a circle",1,"Correct (rephrased)"
"The formula for the circumference of a circle is 2πr","Circumference = πr^2",0,"Incorrect"
"The capital of Brazil is Brasília","Brazil's capital is Brasília",0.9,"Meaning correct but structure different"
"The capital of Brazil is Brasília","The capital of Brazil is Rio de Janeiro",0,"Incorrect"
"The chemical symbol for carbon is C","Carbon is represented by C",1,"Correct (rephrased)"
"The chemical symbol for carbon is C","The symbol for carbon is Co",0,"Incorrect"
"The formula for kinetic energy is 1/2 mv^2","1/2 mv^2 is the formula for kinetic energy",1,"Correct (rephrased)"
"The formula for kinetic energy is 1/2 mv^2","Kinetic energy = mv",0,"Incorrect"
"The capital of Germany is Berlin","Germany's capital is Berlin",0.9,"Meaning correct but structure different"
"The capital of Germany is Berlin","The capital of Germany is Munich",0,"Incorrect"
"The chemical symbol for oxygen is O","Oxygen is represented by O",1,"Correct (rephrased)"
"The chemical symbol for oxygen is O","The symbol for oxygen is Ox",0,"Incorrect"
"The formula for potential energy is mgh","mgh is the formula for potential energy",1,"Correct (rephrased)"
"The formula for potential energy is mgh","Potential energy = 1/2 mv^2",0,"Incorrect"
"The capital of Russia is Moscow","Russia's capital is Moscow",0.9,"Meaning correct but structure different"
"The capital of Russia is Moscow","The capital of Russia is St. Petersburg",0,"Incorrect"
"The chemical symbol for nitrogen is N","Nitrogen is represented by N",1,"Correct (rephrased)"
"The chemical symbol for nitrogen is N","The symbol for nitrogen is Ni",0,"Incorrect"
"The formula for power is work/time","Work divided by time equals power",1,"Correct (rephrased)"
"The formula for power is work/time","Power = force × distance",0,"Incorrect"
"The capital of India is New Delhi","India's capital is New Delhi",0.9,"Meaning correct but structure different"
"The chemical symbol for helium is He","Helium is represented by He",1,"Correct (rephrased)"
"The chemical symbol for helium is He","The symbol for helium is H",0,"Incorrect"
"The formula for acceleration is change in velocity/time","Change in velocity divided by time equals acceleration",1,"Correct (rephrased)"
"The formula for acceleration is change in velocity/time","Acceleration = velocity × time",0,"Incorrect"
"The capital of South Africa is Pretoria","South Africa's capital is Pretoria",0.9,"Meaning correct but structure different"
"The capital of South Africa is Pretoria","The capital of South Africa is Cape Town",0,"Incorrect"
"The chemical symbol for potassium is K","Potassium is represented by K",1,"Correct (rephrased)"
"The chemical symbol for potassium is K","The symbol for potassium is Po",0,"Incorrect"
"The formula for work is force × distance","Force multiplied by distance equals work",1,"Correct (rephrased)"
"The formula for work is force × distance","Work = force + distance",0,"Incorrect"
"The capital of Argentina is Buenos Aires","Argentina's capital is Buenos Aires",0.9,"Meaning correct but structure different"
"The capital of Argentina is Buenos Aires","The capital of Argentina is Santiago",0,"Incorrect"
"The chemical symbol for calcium is Ca","Calcium is represented by Ca",1,"Correct (rephrased)"
"The chemical symbol for calcium is Ca","The symbol for calcium is Cl",0,"Incorrect"
"The formula for velocity is displacement/time","Displacement divided by time equals velocity",1,"Correct (rephrased)"
"The formula for velocity is displacement/time","Velocity = distance/time",0.8,"Partially correct (less specific)"
"The capital of Egypt is Cairo","Egypt's capital is Cairo",0.9,"Meaning correct but structure different"
"The capital of Egypt is Cairo","The capital of Egypt is Alexandria",0,"Incorrect"
"The chemical symbol for iron is Fe","Iron is represented by Fe",1,"Correct (rephrased)"
"The chemical symbol for iron is Fe","The symbol for iron is Ir",0,"Incorrect"
"The formula for pressure is force/area","Force divided by area equals pressure",1,"Correct (rephrased)"
"The formula for pressure is force/area","Pressure = force × area",0,"Incorrect"
"The capital of Mexico is Mexico City","Mexico's capital is Mexico City",0.9,"Meaning correct but structure different"
"The capital of Mexico is Mexico City","The capital of Mexico is Guadalajara",0,"Incorrect"
"The chemical symbol for silver is Ag","Silver is represented by Ag",1,"Correct (rephrased)"
"The chemical symbol for silver is Ag","The symbol for silver is Si",0,"Incorrect"
"The formula for momentum is mass × velocity","Mass multiplied by velocity equals momentum",1,"Correct (rephrased)"
"The formula for momentum is mass × velocity","Momentum = mass/velocity",0,"Incorrect"
"The capital of Spain is Madrid","Spain's capital is Madrid",0.9,"Meaning correct but structure different"
"The capital of Spain is Madrid","The capital of Spain is Barcelona",0,"Incorrect"
"The chemical symbol for copper is Cu","Copper is represented by Cu",1,"Correct (rephrased)"
"The Earth revolves around the Sun.","The Sun revolves around the Earth.",0.1,"Incorrect understanding of planetary motion."
"Water boils at 100 degrees Celsius.","Water boils at 90 degrees Celsius.",0.2,"Incorrect temperature value, but close."
"The capital of France is Paris.","The capital of France is Paris.",1.0,"Correct answer!"
"Photosynthesis is the process by which plants make food.","Photosynthesis is how plants drink water.",0.3,"Partially correct, but missing the concept of food production."
"Gravity is the force that attracts objects toward the center of the Earth.","Gravity pushes objects away from the Earth.",0.0,"Completely incorrect understanding of gravity."
"The human heart has four chambers.","The human heart has three chambers.",0.4,"Incorrect number of chambers."
"The chemical symbol for water is H2O.","The chemical symbol for water is HO2.",0.5,"Close, but incorrect chemical structure."
"Albert Einstein developed the theory of relativity.","Albert Einstein invented the light bulb.",0.0,"Incorrect attribution of invention."
"Mount Everest is the tallest mountain on Earth.","Mount Everest is the second tallest mountain on Earth.",0.6,"Incorrect ranking, but close."
"DNA carries genetic information.","DNA controls body temperature.",0.1,"Incorrect function of DNA."
"The Great Wall of China is located in China.","The Great Wall of China is located in Japan.",0.0,"Incorrect location."
"Sound travels faster in water than in air.","Sound travels slower in water than in air.",0.3,"Incorrect statement about sound speed."
"The largest planet in our solar system is Jupiter.","The largest planet in our solar system is Saturn.",0.4,"Incorrect planet, but close."
"Neil Armstrong was the first person to walk on the moon.","Neil Armstrong was the first person to walk on Mars.",0.2,"Incorrect celestial body."
"The Pacific Ocean is the largest ocean on Earth.","The Atlantic Ocean is the largest ocean on Earth.",0.4,"Incorrect ocean."
"Light travels at a speed of approximately 299,792 kilometers per second.","Light travels at a speed of 300,000 kilometers per second.",0.9,"Very close to the actual value."
"The Statue of Liberty was a gift from France.","The Statue of Liberty was a gift from Italy.",0.2,"Incorrect country of origin."
"Atoms are composed of protons, neutrons, and electrons.","Atoms are composed of protons and electrons only.",0.7,"Partially correct, missing neutrons."
"The Amazon River is the longest river in the world.","The Nile River is the longest river in the world.",0.5,"Common misconception; the Amazon is longer."
"The human body has 206 bones.","The human body has 205 bones.",0.9,"Very close answer."
"The boiling point of water decreases at higher altitudes.","The boiling point of water increases at higher altitudes.",0.0,"Incorrect understanding of altitude effect on boiling point."
"The Mona Lisa was painted by Leonardo da Vinci.","The Mona Lisa was painted by Michelangelo.",0.0,"Incorrect artist."
"The capital of Australia is Canberra.","The capital of Australia is Sydney.",0.3,"Incorrect capital city."
"The speed of sound in air is approximately 343 meters per second.","The speed of sound in air is 400 meters per second.",0.7,"Close but incorrect value."
"Pluto is classified as a dwarf planet.","Pluto is classified as a planet.",0.2,"Outdated classification."
"Venus is the hottest planet in our solar system.","Mercury is the hottest planet in our solar system.",0.4,"Common misconception."
"Water is composed of two hydrogen atoms and one oxygen atom.","Water is composed of one hydrogen atom and two oxygen atoms.",0.3,"Incorrect chemical structure."
"Lightning is caused by the buildup of electrical charge in clouds.","Lightning is caused by wind in the atmosphere.",0.2,"Incorrect cause."
"The Great Pyramid of Giza is one of the Seven Wonders of the Ancient World.","The Great Pyramid of Giza is in Greece.",0.1,"Incorrect location."
"The human brain is composed of about 86 billion neurons.","The human brain is composed of about 100 billion neurons.",0.8,"Close but not exact value."
"The heart pumps blood through the body.","The brain pumps blood through the body.",0.2,"Incorrect organ responsible for pumping blood."
"Shakespeare wrote 'Hamlet.'","Shakespeare wrote 'Romeo and Juliet.'",0.6,"Correct author but wrong play."
"The sun rises in the east.","The sun rises in the west.",0.0,"Incorrect direction."
"Water is made up of hydrogen and oxygen.","Water is made up of nitrogen and oxygen.",0.2,"Incorrect elements."
"The chemical symbol for gold is Au.","The chemical symbol for gold is Ag.",0.3,"Incorrect symbol; Ag is for silver."
"Photosynthesis converts sunlight into energy.","Photosynthesis converts moonlight into energy.",0.1,"Incorrect light source."
"An octopus has three hearts.","An octopus has two hearts.",0.6,"Partially correct, but wrong number of hearts."
"The capital of Japan is Tokyo.","The capital of Japan is Kyoto.",0.5,"Similar name but incorrect capital."
"A triangle has three sides.","A triangle has four sides.",0.0,"Incorrect geometry."
"The square root of 16 is 4.","The square root of 16 is 5.",0.1,"Incorrect value."
"Mercury is the smallest planet in the solar system.","Pluto is the smallest planet in the solar system.",0.3,"Pluto is no longer considered a planet."
"The Great Barrier Reef is located in Australia.","The Great Barrier Reef is located in New Zealand.",0.2,"Incorrect location."
"The human body has 206 bones.","The human body has 210 bones.",0.8,"Close, but not exact."
"Lightning is hotter than the surface of the sun.","Lightning is colder than the surface of the sun.",0.0,"Completely incorrect understanding."
"Sound cannot travel through a vacuum.","Sound can travel through a vacuum.",0.0,"Incorrect understanding of sound transmission."
"The Statue of Liberty is located in New York City.","The Statue of Liberty is located in Los Angeles.",0.1,"Incorrect city."
"A right angle measures 90 degrees.","A right angle measures 45 degrees.",0.0,"Incorrect angle measurement."
"The moon reflects sunlight.","The moon generates its own light.",0.0,"Incorrect understanding of the moon's light."
"The Amazon rainforest is the largest rainforest in the world.","The Congo rainforest is the largest rainforest in the world.",0.3,"Incorrect rainforest."
"The speed of light is approximately 299,792 kilometers per second.","The speed of light is 300,000 kilometers per second.",0.9,"Very close to the correct value."
"The human body is approximately 60% water.","The human body is approximately 40% water.",0.5,"Partially correct but underestimates water content."
"The Great Wall of China is over 13,000 miles long.","The Great Wall of China is over 10,000 miles long.",0.8,"Close but slightly underestimated."
"Blood is red due to the presence of hemoglobin.","Blood is red due to the presence of iron.",0.7,"Partially correct; iron is part of hemoglobin."
"The largest desert in the world is the Antarctic Desert.","The largest desert in the world is the Sahara Desert.",0.4,"Common misconception."
"A leap year occurs every four years.","A leap year occurs every five years.",0.2,"Incorrect frequency of leap years."
"The chemical symbol for sodium is Na.","The chemical symbol for sodium is S.",0.3,"Incorrect symbol; S is for sulfur."
"Albert Einstein developed the theory of general relativity.","Albert Einstein developed the theory of evolution.",0.0,"Incorrect attribution."
"The Pacific Ocean is the deepest ocean in the world.","The Atlantic Ocean is the deepest ocean in the world.",0.1,"Incorrect ocean."
"Earth's atmosphere is composed mainly of nitrogen and oxygen.","Earth's atmosphere is composed mainly of carbon dioxide and oxygen.",0.2,"Incorrect composition."
"A rainbow is caused by the refraction of light through water droplets.","A rainbow is caused by sunlight bending through air.",0.5,"Partially correct but missing key detail."
"The Eiffel Tower is located in Paris.","The Eiffel Tower is located in London.",0.0,"Incorrect city."
"The capital of Italy is Rome.","The capital of Italy is Venice.",0.3,"Incorrect city."
"Diamonds are made of carbon.","Diamonds are made of glass.",0.0,"Incorrect material."
"The freezing point of water is 0 degrees Celsius.","The freezing point of water is -10 degrees Celsius.",0.1,"Incorrect value."
"The largest planet in the solar system is Jupiter.","The largest planet in the solar system is Saturn.",0.4,"Incorrect planet."
"The chemical formula for glucose is C6H12O6.","The chemical formula for glucose is CH4.",0.2,"Incorrect formula."
"The human body has 32 adult teeth.","The human body has 30 adult teeth.",0.8,"Close but incorrect count."
"The Amazon River flows through Brazil.","The Amazon River flows through Argentina.",0.2,"Incorrect country."
"The boiling point of water at sea level is 100 degrees Celsius.","The boiling point of water at sea level is 90 degrees Celsius.",0.2,"Incorrect value."
"The speed of sound in air is about 343 meters per second.","The speed of sound in air is about 400 meters per second.",0.7,"Close but not exact."
"The first human to step on the moon was Neil Armstrong.","The first human to step on the moon was Buzz Aldrin.",0.4,"Incorrect astronaut."
"The Great Pyramid of Giza is located in Egypt.","The Great Pyramid of Giza is located in Sudan.",0.1,"Incorrect location."
"Saturn has the most prominent ring system in the solar system.","Jupiter has the most prominent ring system in the solar system.",0.3,"Incorrect planet."
"The human heart has four chambers.","The human heart has three chambers.",0.4,"Incorrect number of chambers."
"The capital of Canada is Ottawa.","The capital of Canada is Toronto.",0.5,"Incorrect city."
"The largest mammal in the world is the blue whale.","The largest mammal in the world is the elephant.",0.2,"Incorrect animal."
"The human eye can see millions of colors.","The human eye can see thousands of colors.",0.4,"Underestimates human color perception."
"The Sahara Desert is located in Africa.","The Sahara Desert is located in Asia.",0.0,"Incorrect continent."
"The smallest bone in the human body is the stapes.","The smallest bone in the human body is the femur.",0.0,"Incorrect bone."
"The chemical symbol for potassium is K.","The chemical symbol for potassium is P.",0.3,"Incorrect symbol; P is for phosphorus."
"The first element on the periodic table is hydrogen.","The first element on the periodic table is helium.",0.5,"Close but incorrect element."
"Venus is the second planet from the sun.","Venus is the third planet from the sun.",0.4,"Incorrect planetary order."
"The capital of Russia is Moscow.","The capital of Russia is Saint Petersburg.",0.6,"Incorrect city but within the same country."
"The chemical symbol for iron is Fe.","The chemical symbol for iron is I.",0.2,"Incorrect symbol."
"The Atlantic Ocean separates North America and Europe.","The Pacific Ocean separates North America and Europe.",0.1,"Incorrect ocean."
"The largest organ in the human body is the skin.","The largest organ in the human body is the liver.",0.3,"Incorrect organ."
"The boiling point of ethanol is about 78 degrees Celsius.","The boiling point of ethanol is about 80 degrees Celsius.",0.8,"Very close value."
"Humans have 23 pairs of chromosomes.","Humans have 22 pairs of chromosomes.",0.7,"Close but incorrect number."
"Thomas Edison invented the light bulb.","Thomas Edison invented the telephone.",0.0,"Incorrect invention."
"The mitochondria is the powerhouse of the cell.","The nucleus is the powerhouse of the cell.",0.0,"Incorrect cell function."
"The chemical symbol for carbon dioxide is CO2.","The chemical symbol for carbon dioxide is CO.",0.5,"Partially correct but missing one oxygen atom."
"Earth orbits the sun.","Earth orbits the moon.",0.1,"Incorrect celestial body."
"A hexagon has six sides.","A hexagon has eight sides.",0.0,"Incorrect number of sides."
"The largest land animal is the African elephant.","The largest land animal is the Asian elephant.",0.7,"Partially correct; different species."
"The brain controls the body’s functions.","The heart controls the body’s functions.",0.1,"Incorrect organ."
"Pi is approximately 3.14.","Pi is approximately 3.2.",0.8,"Close but not exact."
"A day on Earth lasts about 24 hours.","A day on Earth lasts about 26 hours.",0.4,"Incorrect duration."
"The Mona Lisa was painted by Leonardo da Vinci.","The Mona Lisa was painted by Michelangelo.",0.1,"Incorrect artist."
"Mount Everest is the tallest mountain on Earth.","Mount Everest is the tallest volcano on Earth.",0.3,"Partially correct; not a volcano."
"The capital of France is Paris.","The capital of France is Lyon.",0.5,"Incorrect city but in the correct country."
"Water freezes at 0 degrees Celsius.","Water freezes at -1 degrees Celsius.",0.9,"Close value but not exact."
"The Atlantic Ocean is saltwater.","The Atlantic Ocean is freshwater.",0.0,"Incorrect type of water."
"The human skeleton is made of 206 bones.","The human skeleton is made of 208 bones.",0.9,"Close but slightly off."
"The smallest planet in the solar system is Mercury.","The smallest planet in the solar system is Mars.",0.4,"Incorrect planet."
"The mitochondria produce energy in the cell.","The ribosomes produce energy in the cell.",0.0,"Incorrect organelle."
"Sharks are fish.","Sharks are mammals.",0.0,"Incorrect classification."
"The Amazon River is the longest river in South America.","The Nile River is the longest river in South America.",0.2,"Incorrect river."
"The human heart beats about 60 to 100 times per minute.","The human heart beats about 40 to 60 times per minute.",0.5,"Partially correct but underestimated rate."
"Albert Einstein was born in Germany.","Albert Einstein was born in Austria.",0.4,"Incorrect country."
"Photosynthesis produces oxygen.","Photosynthesis produces carbon dioxide.",0.0,"Incorrect product."
"Venus is hotter than Mercury due to its thick atmosphere.","Venus is hotter than Mercury due to its proximity to the sun.",0.3,"Incorrect reason."
"The Earth's core is mostly iron and nickel.","The Earth's core is mostly lead and nickel.",0.2,"Incorrect element."
"A prism separates light into different colors.","A prism combines light into different colors.",0.0,"Incorrect light behavior."
"Julius Caesar was assassinated on the Ides of March.","Julius Caesar was assassinated on the Ides of April.",0.6,"Close but wrong month."
"The largest ocean on Earth is the Pacific Ocean.","The largest ocean on Earth is the Indian Ocean.",0.4,"Incorrect ocean."
"The human eye has rods and cones to detect light and color.","The human eye has rods and nerves to detect light and color.",0.7,"Partially correct."
"The formula for calculating the area of a circle is πr².","The formula for calculating the area of a circle is 2πr.",0.4,"Incorrect formula."
"DNA stands for Deoxyribonucleic Acid.","DNA stands for Dioxyribonucleic Acid.",0.8,"Very close spelling but incorrect."
"The capital of Australia is Canberra.","The capital of Australia is Sydney.",0.5,"Incorrect city but in the same country."
"Bees collect nectar to make honey.","Bees collect pollen to make honey.",0.3,"Partially correct but incorrect substance."
"The freezing point of ethanol is -114 degrees Celsius.","The freezing point of ethanol is -120 degrees Celsius.",0.8,"Close but not exact."
"The Earth is approximately 4.5 billion years old.","The Earth is approximately 3 billion years old.",0.6,"Underestimates Earth's age."
"An adult human body has 32 teeth.","An adult human body has 30 teeth.",0.7,"Close but incorrect count."
"Electric current is measured in amperes.","Electric current is measured in volts.",0.2,"Incorrect unit."
"The primary gas in Earth's atmosphere is nitrogen.","The primary gas in Earth's atmosphere is oxygen.",0.4,"Incorrect gas."
"Saturn has 83 known moons.","Saturn has 85 known moons.",0.9,"Close estimate."
"Carbon dating is used to determine the age of fossils.","Carbon dating is used to determine the composition of fossils.",0.3,"Incorrect use."
"The Great Wall of China was built to protect against invasions.","The Great Wall of China was built to connect trade routes.",0.2,"Incorrect purpose."
"The chemical symbol for helium is He.","The chemical symbol for helium is H.",0.3,"Incorrect symbol."
"The Pythagorean theorem applies to right triangles.","The Pythagorean theorem applies to equilateral triangles.",0.2,"Incorrect type of triangle."
"The sun is a star.","The sun is a planet.",0.0,"Incorrect classification."
"The formula for speed is distance divided by time.","The formula for speed is time divided by distance.",0.0,"Incorrect formula."
"The Earth’s atmosphere has five main layers.","The Earth’s atmosphere has four main layers.",0.8,"Close but slightly underestimated."
"The largest animal in the ocean is the blue whale.","The largest animal in the ocean is the great white shark.",0.1,"Incorrect animal."
"The chemical symbol for copper is Cu.","The chemical symbol for copper is Co.",0.3,"Incorrect symbol."
"The Earth’s core is hotter than the sun’s surface.","The Earth’s core is colder than the sun’s surface.",0.1,"Incorrect comparison."
"The capital of Spain is Madrid.","The capital of Spain is Barcelona.",0.5,"Incorrect city."
